Participant,Method,MentalDemand,PhysicalDemand,Performance,Effort,Frustration
100,TextMagnifier,3,5,15,12,18
100,SpacebarSwipe,3,4,12,12,17
100,TapFix,5,4,16,11,6
110,TextMagnifier,4,9,10,10,14
110,SpacebarSwipe,4,11,7,11,15
110,TapFix,3,3,13,7,7
120,TextMagnifier,5,9,15,13,8
120,SpacebarSwipe,5,5,16,3,2
120,TapFix,9,13,3,18,18
130,TextMagnifier,8,4,14,8,5
130,SpacebarSwipe,6,12,11,9,11
130,TapFix,13,13,12,14,14
140,TextMagnifier,7,7,15,7,5
140,SpacebarSwipe,4,6,14,5,8
140,TapFix,9,10,11,9,7
150,TextMagnifier,8,5,17,12,3
150,SpacebarSwipe,8,7,13,15,15
150,TapFix,4,12,16,4,9
160,TextMagnifier,7,7,9,11,13
160,SpacebarSwipe,7,11,13,12,7
160,TapFix,10,10,15,12,16
170,TextMagnifier,11,14,11,14,11
170,SpacebarSwipe,11,11,18,11,8
170,TapFix,9,8,19,11,5
180,TextMagnifier,3,3,14,3,1
180,SpacebarSwipe,3,3,14,2,1
180,TapFix,2,2,18,2,1
190,TextMagnifier,4,10,19,5,6
190,SpacebarSwipe,14,18,14,13,17
190,TapFix,3,3,19,6,2
200,TextMagnifier,3,5,16,11,12
200,SpacebarSwipe,4,2,14,8,11
200,TapFix,12,8,20,9,11
210,TextMagnifier,4,5,18,4,6
210,SpacebarSwipe,3,4,18,5,3
210,TapFix,6,4,17,6,4
220,TextMagnifier,2,4,18,3,1
220,SpacebarSwipe,5,9,13,13,5
220,TapFix,2,11,18,12,1
230,TextMagnifier,12,13,15,13,16
230,SpacebarSwipe,15,17,15,14,16
230,TapFix,9,11,16,10,10
240,TextMagnifier,4,6,15,7,1
240,SpacebarSwipe,11,6,12,9,6
240,TapFix,4,0,16,4,1
