Participant,Method,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Score
100,TextMagnifier,2,4,2,1,4,5,5,1,2,3,42.5
100,SpacebarSwipe,1,3,2,2,4,4,4,1,3,3,37.5
100,TapFix,4,3,4,2,1,2,4,5,3,3,72.5
110,TextMagnifier,3,2,2,1,3,4,5,3,1,4,60
110,SpacebarSwipe,1,2,2,1,4,4,3,2,1,4,45
110,TapFix,3,1,4,1,1,1,4,5,3,3,80
120,TextMagnifier,2,2,4,1,2,4,4,5,3,2,67.5
120,SpacebarSwipe,4,2,4,1,3,2,5,4,2,2,77.5
120,TapFix,4,2,4,1,3,2,4,4,1,2,77.5
130,TextMagnifier,4,2,3,1,2,1,4,3,2,2,75
130,SpacebarSwipe,3,2,3,2,2,3,3,3,2,2,62.5
130,TapFix,3,4,3,4,2,3,2,3,4,4,40
140,TextMagnifier,4,2,4,2,2,2,4,3,2,2,72.5
140,SpacebarSwipe,4,2,4,2,2,2,4,4,2,2,75
140,TapFix,5,2,4,2,2,3,3,4,4,3,65
150,TextMagnifier,5,2,4,1,2,1,3,5,2,4,77.5
150,SpacebarSwipe,2,3,2,3,5,4,4,4,4,2,42.5
150,TapFix,4,2,4,1,2,3,4,5,1,2,80
160,TextMagnifier,2,2,4,2,2,2,4,3,4,4,57.5
160,SpacebarSwipe,5,1,5,4,2,2,5,5,5,4,70
160,TapFix,1,5,2,3,3,4,4,3,5,5,27.5
170,TextMagnifier,2,2,3,1,5,5,4,1,3,2,45
170,SpacebarSwipe,4,2,4,1,2,2,4,4,2,2,77.5
170,TapFix,4,2,3,2,2,3,2,4,2,5,57.5
180,TextMagnifier,3,2,4,1,1,4,4,4,2,2,72.5
180,SpacebarSwipe,1,2,3,1,2,4,4,3,3,4,52.5
180,TapFix,4,2,4,1,1,1,4,4,2,4,77.5
190,TextMagnifier,4,3,4,1,2,2,4,3,2,4,67.5
190,SpacebarSwipe,1,4,2,2,4,5,2,1,3,5,22.5
190,TapFix,4,2,5,1,2,2,4,4,2,2,80
200,TextMagnifier,1,1,4,1,4,4,5,3,2,1,65
200,SpacebarSwipe,4,3,3,2,4,2,2,4,3,4,52.5
200,TapFix,5,3,4,3,2,3,1,5,4,5,52.5
210,TextMagnifier,3,1,4,1,1,2,4,4,2,2,80
210,SpacebarSwipe,5,1,4,1,1,2,4,5,2,2,87.5
210,TapFix,4,2,3,2,2,2,3,3,3,3,62.5
220,TextMagnifier,5,1,4,1,2,2,4,5,1,2,87.5
220,SpacebarSwipe,1,2,3,1,4,4,3,1,3,2,45
220,TapFix,3,1,5,1,3,3,4,4,2,3,72.5
230,TextMagnifier,4,4,3,1,1,2,4,2,4,4,57.5
230,SpacebarSwipe,1,4,2,2,2,4,2,2,3,4,35
230,TapFix,4,2,4,1,2,2,4,4,2,2,77.5
240,TextMagnifier,4,2,5,1,1,2,4,4,1,3,82.5
240,SpacebarSwipe,1,3,2,1,5,4,4,2,1,4,42.5
240,TapFix,4,2,4,2,1,2,3,5,1,3,77.5
